09:07:52 [SYS] Hitom公网GPS接入系统 Version:1.2.0.6 
09:07:52 [SYS] Build Time:Jul 16 2013 11:05:20 
09:07:52 [SYS] LocalIP: LocalPort:9001 老式终端监听成功！ 
09:07:52 [SYS] LocalIP: LocalPort:10002 新式终端监听成功！ 
09:07:52 [SYS] RemoteIP:192.168.1.132 RemotePort:9003 LocalIP:192.168.1.132 启动接入至分发服务成功！ 
09:07:52 [SYS] HiTown GPS公网接入服务程序启动成功!
09:07:53 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:07:59 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:08:06 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:08:13 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:08:20 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:08:27 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:08:33 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:08:40 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:08:47 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:08:54 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:09:01 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:09:07 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:09:13 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:09:19 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:09:25 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:09:31 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:09:37 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:09:43 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:09:49 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:09:55 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:10:01 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:10:07 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:10:13 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:10:19 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:10:25 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:10:31 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:10:37 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:10:43 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:10:49 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:10:55 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:11:01 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:11:07 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:11:14 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:11:20 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:11:26 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:11:32 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:11:38 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:11:44 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:11:50 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:11:56 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:12:02 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:12:08 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:12:14 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:12:20 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:12:26 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:12:32 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:12:38 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:12:44 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:12:50 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:12:57 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:13:03 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:13:09 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:13:15 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:13:21 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:13:27 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:13:33 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:13:39 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:13:45 [CPubToCon][ID:639944568] OnConnectError 继续重连
09:13:51 [CPubToCon][ID:639944568] OnConnectError 继续重连
