08:44:59 [SYS] Hitom公网GPS接入系统 Version:1.2.0.6 
08:44:59 [SYS] Build Time:Jul 16 2013 11:05:20 
08:44:59 [SYS] LocalIP: LocalPort:9001 老式终端监听成功！ 
08:44:59 [SYS] LocalIP: LocalPort:10002 新式终端监听成功！ 
08:45:00 [SYS] RemoteIP:192.168.1.132 RemotePort:9003 LocalIP:192.168.1.132 启动接入至分发服务成功！ 
08:45:00 [SYS] HiTown GPS公网接入服务程序启动成功!
08:45:01 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:45:07 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:45:14 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:45:21 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:45:28 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:45:35 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:45:42 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:45:49 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:45:54 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:46:00 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:46:07 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:46:12 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:46:18 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:46:25 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:46:30 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:46:36 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:46:43 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:46:49 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:46:55 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:47:01 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:47:07 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:47:14 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:47:19 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:47:25 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:47:32 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:47:37 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:47:43 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:47:50 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:47:55 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:48:01 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:48:08 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:48:13 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:48:19 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:48:26 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:48:32 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:48:38 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:48:44 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:48:50 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:48:57 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:49:02 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:49:08 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:49:15 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:49:20 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:49:26 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:49:33 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:49:38 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:49:44 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:49:51 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:49:56 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:50:02 [CPubToCon][ID:639944568] OnConnectError 继续重连
08:50:09 [CPubToCon][ID:639944568] OnConnectError 继续重连
